setting ,sigma,central_adj,gamma,bnorm,static myopic with belief updating,static myopic with no belief updating,static terminal with belief updating,static terminal no belief updating,dynamically optimal,dynamically optimal not updating the belief,RL
0,0.2,1.2,1,0,8.79,8.42,7.4,6.85,8.94,8.6,
1,0.2,1.2,3,0,5.45,5.41,3.84,3.83,5.48,5.44,
2,0.2,1.2,5,0,3.75,3.75,2.59,2.58,3.76,3.75,
3,0.2,1.2,10,0,2.61,2.62,1.85,1.85,2.6,2.6,
4,0.2,1.2,20,0,2.03,2.05,1.46,1.45,2.05,2.02,
7,0.2,0,3,0,8.31,8.32,8.27,8.29,8.32,8.31,
8,0.2,0,5,0,5.65,5.67,4.78,4.8,5.65,5.65,
9,0.2,0,10,0,3.77,3.85,2.71,2.72,3.81,3.81,
10,0.2,0,20,0,2.83,2.78,2.04,2.01,2.87,2.82,
12,0.1,1.2,3,0,5.7,5.62,3.83,3.79,5.72,5.67,
13,0.1,1.2,5,0,4.05,4.04,2.62,2.62,4.05,4.05,
14,0.1,1.2,10,0,2.94,2.95,1.94,1.94,2.94,2.93,
15,0.1,1.2,20,0,2.43,2.43,1.65,1.65,2.44,2.44,
16,0.2,1.2,0.5,0,9.73,9.38,8.52,7.55,9.88,9.38,
17,0.2,1.2,0,0,10.62,10.22,9.54,8.1,10.74,10.24,
18,0.2,1.2,20,1,1.19,1.22,1.3,1.27,1.34,1.35,
19,0.2,1.2,10,1,1.4,1.33,1.46,1.44,1.57,1.54,1.43
20,0.2,1.2,5,1,1.62,1.52,1.55,1.5,1.75,1.68,1.58
21,0.2,1.2,3,1,1.77,1.67,1.6,1.53,1.84,1.77,1.67
22,0.2,1.2,1,1,1.95,1.87,1.64,1.52,1.97,1.9,1.87
23,0.2,1.2,0.5,1,2,1.94,1.64,1.47,2.01,1.94,
24,0.2,1.2,0,1,2.04,2,1.63,1.39,2.05,2,
